Author/s,Title,Date Published,Abstract,DOI,Policy Area,Partner Organisation,Pre-analysis Plan,Reference ,Experiment type,Design,Sample size (or clusters if individuals not given),Result,Data used,Link,Notes if we like it,Example used by AM Leigh,Source,AM reference,Citation,Unnamed: 20,Q1,Q2,Q3,Q4,Q5,Q6
Moore B.; Dudley D.; Woodcock S.,The effects of martial arts participation on mental and psychosocial health outcomes: A randomised controlled trial of a secondary school-based mental health promotion program,2019,"Background: Mental health problems are a significant social issue that have multiple consequences, including broad social and economic impacts. However, many individuals do not seek assistance for mental health problems. Limited research suggests martial arts training may be an efficacious sports-based mental health intervention that potentially provides an inexpensive alternative to psychological therapy. Unfortunately, the small number of relevant studies and other methodological problems lead to uncertainty regarding the validity and reliability of existing research. This study aims to examine the efficacy of a martial arts based therapeutic intervention to improve mental health outcomes. Methods/design: The study is a 10-week secondary school-based intervention and will be evaluated using a randomised controlled trial. Data will be collected at baseline, post-intervention, and 12-week follow-up. Power calculations indicate a maximum sample size of n = 293 is required. The target age range of participants is 11-14 years, who will be recruited from government and catholic secondary schools in New South Wales, Australia. The intervention will be delivered in a face-to-face group format onsite at participating schools and consists of 10 × 50-60 min sessions, once per week for 10 weeks. Quantitative outcomes will be measured using standardised psychometric instruments. Discussion: The current study utilises a robust design and rigorous evaluation process to explore the intervention's potential efficacy. As previous research examining the training effects of martial arts participation on mental health outcomes has not exhibited comparable scale or rigour, the findings of the study will provide valuable evidence regarding the efficacy of martial arts training to improve mental health outcomes. Trial registration: Australian New Zealand Clinical Trials Register ACTR N12618001405202. Registered 21st August 2018. © 2019 The Author(s).",10.1186/s40359-019-0329-5,,,,,,,,,,,,,Oct 24 Scopus,,,,Mental Health,This is a protocol/pre-analysis plan.,Field experiment,Regular RCT,293,The description provided does not include the results of the study. It only outlines
Singh N.; Minaie M.G.; Skvarc D.R.; Toumbourou J.W.,Impact of a Secondary School Depression Prevention Curriculum on Adolescent Social-Emotional Skills: Evaluation of the Resilient Families Program,2019,"School-based mental health intervention programs have demonstrated efficacy for the prevention and reduction of depressive symptoms, though the effect tends to be variable and is often unsustained longitudinally. However, it is possible that these intervention programs may have an indirect impact on adolescent functioning via positive mediators, and that this influence may predict more durable protective benefits. This study evaluated the efficacy of the Resilient Families program for improving social-emotional skills and depressive symptoms for adolescents over a two-year period. Twenty-four secondary schools in Melbourne, Australia were randomly allocated to either Resilient Families or a control condition. 1826 students (M= 12.3, SD =.05 years at W1; 56% female) completed the curricula and subsequent surveys. Inconsistent with hypotheses, analysis with Structural Equation Modelling revealed that the program had no significant effect on social-emotional skills and these skills had no significant effects on adolescent depressive symptoms. However, family attendance at parent education events within the intervention schools was associated with longitudinal reductions in depressive symptoms. The findings highlight the importance of increasing emphasis on family and community protective factors in adolescent social-emotional development and depression prevention programs. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.",10.1007/s10964-019-00992-6,,,,,,,,,,,,,Oct 24 Scopus,,,,Education Policy,This is a full study with results.,Field experiment,A clustered RCT,1826,The study did not show statistically significant results for the program's effect on social
Wright K.M.; Roberts R.; Proeve M.J.,Mindfulness-Based Cognitive Therapy for Children (MBCT-C) for Prevention of Internalizing Difficulties: a Small Randomized Controlled Trial with Australian Primary School Children,2019,"Objectives: The use of mindfulness-based programs (MBP) with children is rapidly growing, but calls for well-designed randomized controlled trials (RCTs) of existing programs. Mindfulness-Based Cognitive Therapy for Children (MBCT-C) has preliminary evidence for targeting internalizing symptoms in children. Within MBCT-C (and MBPs more broadly), attention is thought to be a key component of change, but mediation has been relatively unexplored. The overall aim of this small RCT was to compare MBCT-C to cognitive behavior therapy (CBT), as a preventive program for children experiencing internalizing difficulties. Methods: A mixed factorial design was used, with 2 (program group) by 2 (pre- and post-intervention) conditions. Children from 3 primary schools were randomized to MBCT-C (n = 45) or CBT (n = 44) using random permuted blocks, with stratification by school, gender, and age. Main analyses were multi-level mixed models. Results: Contrary to the hypotheses, only limited differences were found between programs. Both programs had small effects on symptoms of anxiety and depression, quality of life, attention control, and parent- and teacher-SDQ Total Difficulties, as well as moderate-large effects on shifting attention. There were no statistically significant changes in mindfulness or sustained attention. Conclusions: This RCT provides a robust test of MBCT-C in a “real life” setting, demonstrating that it may be used as a clinically oriented preventive program in schools to reduce internalizing symptoms. The results challenge whether attention (as measured in this study) is a unique component of change for MBCT-C. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.",10.1007/s12671-019-01193-9,,,,,,,,,,,,,Oct 24 Scopus,,,,Education Policy,This is a full study with results.,Field experiment,Regular RCT,89,The study did not show statistically significant results. Only limited differences were found between
Havighurst S.S.; Wilson K.R.; Harley A.E.; Kehoe C.E.,Dads Tuning in to Kids: A randomized controlled trial of an emotion socialization parenting program for fathers,2019,"Fathers play an important role in shaping their children’s emotional competence although most literature has focused on the influence of mothers. Dads Tuning in to Kids (Dads TIK) is a parenting program that teaches fathers to coach their children in learning about emotions, while also helping fathers increase awareness and regulation of their own emotions. A randomized controlled efficacy trial of Dads TIK was conducted with a community sample of 162 fathers of a 4-year-old child attending preschool in Melbourne, Australia. Those allocated to the intervention attended a seven-session manualized group program. Questionnaires were completed by fathers, the fathers’ partners and the children’s teachers at baseline and 6-month follow-up. Results were that fathers in the intervention condition but not control condition reported significant increases in emotion socialization, parenting satisfaction and efficacy, and reductions in their children’s difficult behaviors. Partners of fathers in the intervention condition reported reductions in their own emotion dismissing parenting and improvements in psychological well-being. Partners and teachers reported significant improvements in children’s behavior across both intervention and control conditions. These findings suggest a father-focused program appears to lead to changes in fathers’ emotion socialization skills that may have benefits for partners’ functioning and children’s behavior. © 2019 John Wiley & Sons Ltd",10.1111/sode.12375,,,,,,,,,,,,,Oct 24 Scopus,,,,Parenting Education,This is a full study with results.,Field experiment,Randomized controlled trial (RCT),162,"Yes, the study showed statistically significant results. Fathers in the intervention condition reported"
Fealy S.; Chan S.; Wynne O.; Dowse E.; Ebert L.; Ho R.; Zhang M.W.B.; Jones D.,The Support for New Mums Project: A protocol for a pilot randomized controlled trial designed to test a postnatal psychoeducation smartphone application; [新手妈妈支持项目:测试产后心理教育智能手机应用的试点随机对照试验方案。],2019,Aim: To report a pilot trial protocol for testing the effectiveness of the Support for New Mums smartphone application in a cohort of first-time mothers. Design: A pilot/feasibility randomized controlled trial using a two-group pre-test and repeated post-test design. Method: This protocol follows the Standard Protocol Items: Recommendations for Intervention Trials (SPIRIT) guidelines. The Intervention group will receive access to the smartphone application for 6 weeks post birth. Both Intervention and control groups will receive standardized institutional postnatal care services. Trial funding was gained from respective grant sponsors in May and November 2016. Discussion: The Support for New Mums smartphone application could be a novel method for addressing the gap in provision of postpartum care services providing psychoeducation and improving maternal parental self-efficacy for Australian childbearing women. Trial registration: Australian New Zealand Clinical Trials Registry ACTRN12618001580268. © 2019 John Wiley & Sons Ltd,10.1111/jan.13971,,,,,,,,,,,,,Oct 24 Scopus,,,,Healthcare Technology,This is a protocol/pre-analysis plan.,Something else,A pilot/feasibility randomized controlled trial using a two-group pre-test,The sample size is not given.,"The description provided is a protocol for a pilot randomized controlled trial, not the"
Shafiei T.; McLachlan H.L.; Nicholson J.M.; Hay S.; Newton M.; Grimes H.; McLardie-Hore F.; Forster D.A.,Exploring the effect of the 'Growing Together' parenting education kit on early parenting - Study protocol for a cluster randomised controlled trial,2019,"Background: Significant gaps exist in education for prospective and new parents, especially for some of the most vulnerable families. Prospective parents would like more information during pregnancy to prepare them for parenting, and need access to trusted and quality information. The Royal Women's Hospital (the Women's) in Melbourne, Australia, a large tertiary referral maternity hospital, developed a parenting education kit known as 'Growing Together'. The kit, designed to guide prospective and new parents from conception until 1 year after birth, includes three components: an A4 sized book, a specifically designed 'App' and a children's story book. We aim to evaluate the impact of the kit on a range of outcomes. Methods: A two-arm cluster randomised controlled trial will be used. Antenatal clinic days will be randomised to either the intervention or standard care arms. Women in the intervention arm receive the kit at their antenatal booking visit. Women in the standard care arm receive the standard information resources at the Women's. Analyses will be by intention to treat. Inclusion criteria: primiparous women with adequate English-speaking ability and ≤ 30 weeks' gestation at first pregnancy booking appointment. The primary outcome of the study is the 'experience of motherhood questionnaire' (EMQ), a 20 item validated self-report measure, ranging from 0 to 80, with lower scores indicating better maternal health and wellbeing. To detect a 10% difference in new mothers scoring ≤40 between women who have received the kit (60%) and those who have not (50%), would require 408 per group (total of 816 women) with 95% confidence and 80% power. Allowing for loss to follow up, we aim to recruit 1000 mothers. Secondary outcomes include parents' views and experiences of their care and of the kit during pregnancy and after the birth, parental attachment, knowledge, confidence, wellbeing and health-seeking behaviour; and emotional, developmental and physical health of the infant. Survey data will be collected from mothers at 2, 6 and 12 months postpartum and partners at 6 months. Discussion: This study will provide much needed high-level evidence on the impact of a comprehensive education resource for new parents. Trial registration: ANZCTRN12615000270516 - Retrospectively registered (23/03/2015); trial started on 16 March 2015. © 2019 The Author(s).",10.1186/s40359-019-0314-z,,,,,,,,,,,,,Oct 24 Scopus,,,,Parenting Education,This is a protocol / pre-analysis plan.,Field experiment,A clustered RCT,1000,"The description provided is a study protocol, not the results of the study."
Magnus A.; Cobiac L.; Brimblecombe J.; Chatfield M.; Gunther A.; Ferguson M.; Moodie M.,"The cost-effectiveness of a 20% price discount on fruit, vegetables, diet drinks and water, trialled in remote Australia to improve Indigenous health",2018,"This paper estimates the cost-effectiveness of a 20% price discount on healthy food and beverages with and without consumer nutrition education, as trialled in remote Northern Australia. Changes in actual store sales, from the pre-discount baseline period, were analysed for population impact on consumption of fruit and vegetables, water and artificially sweetened soft drinks, in addition with total dietary weight (grams), energy (Mega Joules), and sodium (milligrams). Disability Adjusted Life Years (DALYs), arising from changes in dietary risk factor prevalence in the population, were estimated as the primary health outcome in a multi health-state Markov model. The costs of the strategies were sourced from paid invoices and time estimates of staff providing store-based discount promotion and consumer education. The incremental cost-effectiveness ratio adopted a partial societal perspective, (including health and retail sector costs), as cost per DALY averted and was presented in 2011 Australian dollars. The price discount, helped address a gap in food price equity for residents of remote communities. However, the discount strategy, with or without consumer education led to a net loss of population health -36 95%CI (-47,-25) or -21(-28, -15) DALYs respectively, at increased cost to the retail and health sectors, of AUD860000 95%CI (710000, 1million) or AUD500000 (410000, 590000). The strategies trialled were thereby categorised as dominated by current practice while acknowledging considerable uncertainty surrounding the health outcome estimates. The 20% discount on limited targeted products appeared to need to be considered in conjunction with other marketing strategies to support healthy food choices, if remote Australian Indigenous population health is to be improved. © 2018 Magnus et al.",10.1371/journal.pone.0204005,,,,,,,,,,,,,Oct 24 Scopus,,,,Public Health Policy,This is a full study with results.,Field experiment,Clustered RCT,The sample size is not given.,The study did not show statistically significant results in terms of improving population health.
Goldfeld S.; Price A.; Kemp L.,"Designing, testing, and implementing a sustainable nurse home visiting program: Right@home",2018,"Nurse home visiting (NHV) offers a potential platform to both address the factors that limit access to services for families experiencing adversity and provide effective interventions. Currently, the ability to examine program implementation is hampered by a lack of detailed description of actual, rather than expected, program development and delivery in published studies. Home visiting implementation remains a black box in relation to quality and sustainability. However, previous literature would suggest that efforts to both report and improve program implementation are vital for NHV to have population impact and policy sustainability. In this paper, we provide a case study of the design, testing, and implementation of the right@home program, an Australian NHV program and randomized controlled trial. We address existing gaps related to implementation of NHV programs by describing the processes used to develop the program to be trialed, summarizing its effectiveness, and detailing the quality processes and implementation evaluation. The weight of our evidence suggests that NHV can be a powerful and sustainable platform for addressing inequitable outcomes, particularly when the program focuses on parent engagement and partnership, delivers evidence-based strategies shown to improve outcomes, includes fidelity monitoring, and is adapted to and embedded within existing service delivery systems. © 2018 The Authors.",10.1111/nyas.13688,,,,,,,,,,,,,Oct 24 Scopus,,,,Healthcare Policy,This is a full study with results.,Field experiment,Randomized controlled trial (RCT),The sample size is not given.,The abstract does not provide specific information on whether the study showed statistically significant results
Ellis J.M.; Ayala Quintanilla B.P.; Ward L.; Campbell F.,"Implementation and evaluation of an education programme for nursing staff on recognising, reporting and managing resident-to-resident elder mistreatment in aged care facilities; [实施及评估养老院护理人员认知、报告及管理住院老人虐待之教育计划]",2019,"Aim: To implement an educational programme for nursing staff on recognising, reporting and managing resident-to-resident elder mistreatment in aged care facilities. Background: The phenomenon of a growing ageing population increases the demand of optimum care for older people living in aged care facilities. Caring for older people is complex, but should include the management of aggressive interaction between them. Nursing staff play a vital role in identifying and managing those behaviours. However, many nurses may not recognise these aggressive interactions as abuse. Therefore, this study aims to manage and reduce this abuse through an educational programme. Design: Cluster randomised trial registered on the Australia New Zealand Clinical Trial Registry (ACTRN 12617001618347). Methods: This trial was undertaken in an aged care facility located in Melbourne, Australia and was funded in January 2017. Wards were randomly allocated (as the intervention and control group) by using sealed opaque envelopes. Nursing staff, who met eligibility, were consecutively recruited and supplied their informed consent. Nurses from the intervention group received an educational programme, while nurses from the control group continued with the usual standard care. Main outcomes included recognising, managing and reporting the abuse before and after the intervention and will be evaluated on an intention-to-treat analysis. Discussion: It is vital to manage and reduce resident-to-resident elder mistreatment. This educational programme may assist nursing staff to protect vulnerable older people experiencing this abuse and may improve comprehensive evidence-based care for older people residing in aged care facilities. © 2018 John Wiley & Sons Ltd",10.1111/jan.13819,,,,,,,,,,,,,Oct 24 Scopus,,,,Elder Care,This is a protocol/pre-analysis plan.,Field experiment,A clustered RCT,The sample size is not given.,The description does not provide specific information about the results or whether they were statistically
Billich N.; Blake M.R.; Backholer K.; Cobcroft M.; Li V.; Peeters A.,"The effect of sugar-sweetened beverage front-of-pack labels on drink selection, health knowledge and awareness: An online randomised controlled trial",2018,"Purpose and aim: Sugar-sweetened beverages (SSBs) provide little nutritional value and are associated with an increased risk of diet-related diseases. Despite this, SSB consumption is high globally. One emerging strategy aimed at reducing SSB consumption involves the use of front-of-pack (FOP) labels that clearly identify the risks associated with SSB consumption. The aim of this research study was to determine whether FOP labels with a graphic warning, text warning, sugar information (with the number of teaspoons of added sugar) or Health Star Rating (HSR) reduces intended choice of a SSB in an online choice experiment with young Australian adults. Results: 994 participants were recruited and completed the online choice experiment. Compared to the control group who were not exposed to a label, the graphic warning, text warning, sugar information and HSR labels all significantly reduced selection of a SSB in the choice scenario. The magnitude of effect was greatest for the graphic warning label (OR 0.22 95% CI 0.14–0.35). Compared to the control group, only the HSR label significantly increased selections of the high HSR drinks (OR 2.18 95% CI 1.20–3.97). Conclusions: FOP labels, particularly those with graphic warnings, have the potential to reduce intended SSB purchases. Labels that also identify healthier alternatives may influence consumers to substitute SSBs with healthier drinks. © 2018 Elsevier Ltd",10.1016/j.appet.2018.05.149,,,,,,,,,,,,,Oct 24 Scopus,,,,Public Health,Full study with results.,Survey experiment,Online randomised controlled trial,994,"Yes, the study showed statistically significant results. The graphic warning, text warning"
Morony S.; Weir K.R.; Bell K.J.L.; Biggs J.; Duncan G.; Nutbeam D.; McCaffery K.J.,A stepped wedge cluster randomised trial of nurse-delivered Teach-Back in a consumer telehealth service,2018,"Objective To evaluate the impact of Teach-Back on communication quality in a national telephonebased telehealth service, for callers varying in health literacy. Design Cross-sectional stepped wedge cluster randomised trial with continuous recruitment, short (fixed) exposure and blinded outcome assessors. Nurses were stratified by hours worked and randomised into training groups using a computer generated sequence. Setting An Australian national pregnancy and parenting telephone helpline. Intervention Complex intervention involving a single 2-hour group Teach-Back training session, combined with ongoing nurse self-reflection on their communication following each call and each shift. Participants Participants were 637 callers to the telephone helpline aged 18-75 (87% female), of whom 127 (13%) had inadequate health literacy (measured with the Single Item Literacy Screener); and 15 maternal and child health nurses with 15 years' experience on average. Measures Primary outcome was a modified subscale of the Health Literacy Questionnaire, 'having sufficient information to manage health'. Secondary caller outcomes included caller confidence, perceived actionability of information and nurse effort to listen and understand. Nurse outcomes were perceptions of their communication effectiveness. Results Over a 7 week period, 376 surveyed callers received usual care and 261 Teach-Back. Ratings on the primary outcome increased over time (OR 1.17, CI 1.01 to 1.32, p = 0.03) but no independent Teach-Back effect was observed. A consistent pattern suggests that, compared with usual care, Teach-Back helps callers with inadequate health literacy feel listened to (OR 2.3, CI 0.98 to 5.42, p = 0.06), confident to act (OR 2.44, CI 1.00 to 5.98, p = 0.06), and know what steps to take (OR 2.68, CI 1.00 to 7.17, p = 0.06). Nurse perceptions of both their own communication effectiveness (OR = 2.31; CI 1.38 to 3.86, p<0.0001), and caller understanding (OR = 2.56; CI 1.52 to 4.30, p<0.001) both increased with Teach-Back. No harms were reported. Conclusions Teach-Back appears to benefit telephone health service users with inadequate health literacy, but the extent of this is unclear due to smaller numbers of lower literacy participants. Improving caller ratings over time are likely due to increasing nurse communication competence. © 2018 Morony et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",10.1371/journal.pone.0206473,,,,,,,,,,,,,Oct 24 Scopus,,,,Healthcare Communication,This is a full study with results.,Field experiment,A stepped wedge cluster randomised trial,637,The study showed statistically significant results for nurse perceptions of their own communication effectiveness (
Bates A.; Furber S.; Tiedemann A.; Ginn K.; van den Dolder P.; Howard K.; Bauman A.; Chittenden C.; Franco L.; Kershaw M.; Sherrington C.,"Trial Protocol: Home-based exercise programs to prevent falls and upper limb dysfunction among community-dwelling older people: study protocol for the BEST (Balance Exercise Strength Training) at Home randomised, controlled trial",2018,"Introduction: Falling when older is a major public health issue. There is compelling evidence to show that specific exercise programs can reduce the risk and rate of falls in community-dwelling older people. Another major health issue for older people living in the community is upper limb dysfunction, including shoulder pain. Home-based exercise programs appeal to some older people, due to their convenience. Research questions: This trial aims to determine the effectiveness and cost-effectiveness of a home-based lower limb exercise program compared with a home-based upper limb exercise program to prevent falls and upper limb dysfunction among community-dwelling people aged 65+ years. Design: Randomised, controlled trial. Participants and setting: A total of 576 community-dwelling people will be recruited from the Illawarra and Shoalhaven regions of New South Wales, Australia. Intervention: Participants will be randomised to either a home-based lower limb exercise intervention or a home-based upper limb exercise intervention. The lower limb program is designed to improve balance and strength in the lower limbs. The upper limb program is designed to improve upper limb strength and mobility. Participants will attend three group-based instruction sessions to learn and progress the exercises, and will be instructed to perform the exercises three times per week at home for 12 months. Outcome measures: The two primary outcomes will be fall rates, recorded with monthly calendars for a 12-month period, and upper limb dysfunction, measured with the Disability of the Arm, Shoulder and Hand questionnaire. Secondary outcomes will include: lower limb strength and balance; shoulder strength and mobility; physical activity; quality of life; attitudes to exercise; proportion of fallers; fear of falling; and health and community service use. The cost-effectiveness of both exercise programs from a health and community service provider perspective will be evaluated. Analysis: Negative binomial regression models will be used to estimate the between-group difference in fall rates. Modified Poisson regression models will be used to compare groups on dichotomous outcome measures. Linear regression models will be used to assess the effect of group allocation on the continuously scored measures, after adjusting for baseline scores. Two economic evaluations will be conducted: the first will assess cost-effectiveness of the lower limb program compared with the upper limb program; and the second will assess cost-effectiveness of the upper limb program compared with the lower limb program. Discussion: If effective, the trial will provide a model for both upper limb and lower limb exercise programs that can be performed at home and implemented at scale to community-dwelling older adults. © 2017 Australian Physiotherapy Association",10.1016/j.jphys.2017.10.001,,,,,,,,,,,,,Oct 24 Scopus,,,,Public Health,This is a protocol / pre-analysis plan.,Field experiment,"Randomised, controlled trial (RCT)",576,"The description provided is a study protocol, which outlines the design and methodology of"
Ireland M.J.; Clough B.; Gill K.; Langan F.; O'Connor A.; Spencer L.,A randomized controlled trial of mindfulness to reduce stress and burnout among intern medical practitioners,2017,"Introduction: Stress and burnout are highly prevalent among medical doctors, and are associated with negative consequences for doctors, patients, and organizations. The purpose of the current study was to examine the effectiveness of a mindfulness training intervention in reducing stress and burnout among medical practitioners, by means of a Randomised Controlled Trial design. Methods: Participants were 44 intern doctors completing an emergency department rotation in a major Australian hospital. Participants were randomly assigned to either an active control (one hour extra break per week) or the 10-week mindfulness training intervention. Measures of stress and burnout were taken pre-, mid- and post intervention. Results: Participants undergoing the 10-week mindfulness training program reported greater improvements in stress and burnout relative to participants in the control condition. Significant reduction in stress and burnout was observed for participants in the mindfulness condition. No such reductions were observed for participants in the control condition. Conclusions: Mindfulness interventions may provide medical practitioners with skills to effectively manage stress and burnout, thereby reducing their experience of these symptoms. It is likely that doctors would benefit from the inclusion of such a training program as a part of their general medical education. © 2017 Informa UK Limited, trading as Taylor & Francis Group.",10.1080/0142159X.2017.1294749,,,,,,,,,,,,,Oct 24 Scopus,,,,Healthcare Policy,This is a full study with results.,Field experiment,Randomised Controlled Trial (RCT),44,"Yes, the study showed statistically significant results. Participants undergoing the 10-week"
Roberts C.M.; Kane R.T.; Rooney R.M.; Pintabona Y.; Baughman N.; Hassan S.; Cross D.; Zubrick S.R.; Silburn S.R.,Efficacy of the Aussie Optimism Program: Promoting Pro-social Behavior and Preventing Suicidality in Primary School Students. A Randomised-Controlled Trial,2018,"The efficacy of an enhanced version of the Aussie Optimism Program (AOP) was investigated in a cluster randomized controlled trial. Grade 6 students aged 10-11 years of age (N = 2288) from 63 government primary schools in Perth, Western Australia, participated in the pre, post, and follow-up study. Schools were randomly assigned to one of three conditions: Aussie Optimism with teacher training, Aussie Optimism with teacher training plus coaching, or a usual care condition that received the regular Western Australian Health Education Curriculum. Students in the Aussie Optimism conditions received 20, 1-h lessons relating to social and interpersonal skills and optimistic thinking skills over the last 2 years of primary school. Parents in the active conditions received a parent information booklet each year, plus a self-directed program in Grade 7. Students and parents completed the Extended Strengths and Difficulties Questionnaire. Students who scored in the clinical range on the Emotional Symptoms Scale were given The Diagnostic Interview for Children and Adolescents IV, to assess suicidal ideation and behavior, and depressive and anxiety disorders. Results indicated that Aussie Optimism with teacher training plus coaching was associated with the best outcomes: A significant increase in student-reported pro-social behavior from pre-test to post-test 1 (maintained at post-test 2) and significantly lower incidence rates from suicidal ideation at post-test 2 and follow-up. No significant intervention effects on anxiety and depressive disorders, and total difficulties were reported. These findings suggest that the AOP with teacher training along with coaching may have the potential to positively impact on suicidality and pro-social behavior in the pre-adolescent years. © 2018 Roberts, Kane, Rooney, Pintabona, Baughman, Hassan, Cross, Zubrick and Silburn.",10.3389/FPSYG.2017.01392,,,,,,,,,,,,,Oct 24 Scopus,,,,Education Policy,This is a full study with results.,Field experiment,A clustered RCT,2288,"Yes, the study showed statistically significant results. The Aussie Optimism Program with"
Davies C.; Skinner S.R.; Stoney T.; Marshall H.S.; Collins J.; Jones J.; Hutton H.; Parrella A.; Cooper S.; McGeechan K.; Zimet G.,‘Is it like one of those infectious kind of things?’ The importance of educating young people about HPV and HPV vaccination at school,2017,"The National Human Papillomavirus (HPV) Vaccination Program in Australia commenced in 2007 for girls and in 2013 for boys, using the quadrivalent HPV [4vHPV] vaccine. In Australia, students are primarily vaccinated en masse, on school grounds, after parental/ guardian consent is obtained. Students most often receive little, or no, education at school about HPV or HPV vaccination prior to immunisation. There is also some uncertainty about where young people can and should obtain reliable information about the vaccine, outside of school. We conducted a cluster randomised controlled trial of a complex intervention in schools. This study aimed to improve: (1) student knowledge about HPV vaccination; (2) psycho-social outcomes and (3) vaccination uptake. In this paper, we briefly outline our educational intervention and discuss its implementation by educators including facilitators and barriers. We also discuss the study findings pertaining to student knowledge about HPV and HPV vaccination and their attitudes to vaccination across control and intervention schools. Study results showed students in intervention schools demonstrate greater knowledge and understanding of HPV and HPV vaccination. Greater knowledge and understanding of HPV and HPV vaccination appeared to promote positive attitudes towards vaccination and supported confidence with vaccination. © 2017 Informa UK Limited, trading as Taylor & Francis Group.",10.1080/14681811.2017.1300770,,,,,,,,,,,,,Oct 24 Scopus,,,,Public Health,This is a full study with results.,Field experiment,A clustered RCT,I'm unsure.,The description does not provide specific information about whether the study showed statistically significant results
McLeod L.J.; Hine D.W.; Bengsen A.J.; Driver A.B.,Assessing the impact of different persuasive messages on the intentions and behaviour of cat owners: A randomised control trial,2017,"Owners of free-ranging domestic cats (Felis catus) are under increasing pressure to keep their pet contained within their house or yard, in an effort to reduce adverse impacts on cat welfare, ecosystem biodiversity and neighbourhoods. We conducted a randomised online experiment to assess the effectiveness of two persuasive messages to encourage cat owners to contain their pets. A total of 512 Australian cat owners, who currently do not contain their cats, were randomly assigned to view one of three short video messages: one framed to highlight the negative impact of cats’ on wildlife and biodiversity (‘wildlife protection’ frame), one framed to highlight the health and safety benefits of keeping cats contained (‘cat benefit’ frame), and a control message focused on general information about cats (‘neutral’ frame). We assessed the impact of these video messages on two post-treatment outcome variables: (1) the intention of owners to contain their cat; and (2) the adoption of containment practices, based on a 4-week follow-up survey. Mediation analysis revealed both the ‘wildlife protection’ and ‘cat benefit’ messages increased owners’ motivation to contain their cat and their beliefs that they could effectively contain their cat to achieve the desired outcomes (response efficacy). In turn, higher levels of motivation and response efficacy predicted increased cat containment intentions and increased adoption of cat containment. In addition, the response efficacy effects of the ‘cat benefit’ message were strengthened by the cat owner's bond to their pet, suggesting audience segmentation may improve the effectiveness of interventions. Implications for future intervention development are discussed. © 2017 Elsevier B.V.",10.1016/j.prevetmed.2017.08.005,,,,,,,,,,,,,Oct 24 Scopus,,,,Animal Welfare,This is a full study with results.,Field experiment,Randomised control trial (RCT),512,The study showed statistically significant results. Both the 'wildlife protection' and
Robinson L.; Prichard I.; Nikolaidis A.; Drummond C.; Drummond M.; Tiggemann M.,Idealised media images: The effect of fitspiration imagery on body satisfaction and exercise behaviour,2017,"Recent studies have documented a shift in the cultural ideal of physical attractiveness, with women subscribing to a visibly toned ideal that emphasises health and fitness. The present study experimentally investigated the impact of athletic and muscular fitness-idealised images compared to traditional thin ideal images on women's body dissatisfaction and exercise behaviour, under the framework of Social Comparison Theory. Participants were 106 female undergraduate students randomly assigned to view one of three sets of images (thin ideal, athletic ideal, or muscular ideal) followed by a bout of exercise. Acute exposure to athletic ideal and thin ideal images led to increased body dissatisfaction, but exposure to muscular ideal images did not. Relative to thin ideal images, fitness-idealised images did not motivate participants to engage in higher levels of exercise suggesting that this type of fitness inspiration might not motivate actual exercise behaviour. © 2017 Elsevier Ltd",10.1016/j.bodyim.2017.06.001,,,,,,,,,,,,,Oct 24 Scopus,,,,Body Image,This is a full study with results.,Field experiment,Regular RCT,106,The study showed that acute exposure to athletic ideal and thin ideal images led to
